pitch [deg],pAtm [hPa],Tatm [C],rho [km/m3],Qinf [Pa],Vinf [m/s],Ps (gauge) [Pa],Pt (gauge) [Pa],n [Hz],J [-],P1 (gauge) [Pa],P2 (gauge) [Pa],P3 (gauge) [Pa],P4 (gauge) [Pa],P5 (gauge) [Pa],X [m],Y [m],Z [m]
15,1017.90038,13.4088,1.237456,557.155649,30.008097,21.955475,579.559293,123.028298,0.600177541,370.439078,379.947369,377.077426,349.319318,579.316382,0.03,0.25,0
15,1017.89872,13.4344,1.237343,556.646543,29.995748,21.642686,578.763153,123.029372,0.599925317,369.675423,380.339,376.660416,347.975513,578.394495,0.03,0.24279,0
15,1017.91114,13.46,1.237248,556.458204,29.991829,21.668856,578.639144,123.027942,0.599853908,370.319735,381.722055,376.921458,347.705398,578.786449,0.03,0.23609,0
15,1017.89816,13.46,1.237232,556.819551,30.001757,21.610993,578.685367,123.029786,0.60004348,370.381936,382.509785,376.681193,346.651041,578.46473,0.03,0.22993,0
15,1017.9048,13.48,1.237154,556.712518,29.999822,21.91313,579.140442,123.030125,0.600003126,371.456674,384.612509,377.894216,347.007948,579.337803,0.03,0.22435,0
15,1017.90068,13.5,1.237062,556.565284,29.996962,21.738292,578.72186,123.028755,0.599952607,371.051698,385.235456,377.56696,345.785005,578.649554,0.03,0.21938,0
15,1017.89972,13.5,1.237061,556.000696,29.981757,21.310039,577.837798,123.032139,0.599632006,370.439277,385.566786,376.900023,344.276087,577.364133,0.03,0.21504,0
15,1017.93862,13.52,1.237022,556.55598,29.997199,21.251979,578.36495,123.028623,0.59995799,370.983906,387.026189,377.795587,344.329215,578.273184,0.03,0.21135,0
15,1017.9178,13.52,1.236997,556.683707,30.000948,21.314445,578.323792,123.02833,0.600034401,368.18972,386.920261,378.247705,342.29415,578.098872,0.03,0.20833,0
15,1017.95272,13.538,1.236962,556.654374,30.000584,21.335749,578.541042,123.033085,0.600003931,361.012066,385.473094,380.673225,337.586206,576.590101,0.03,0.206,0
15,1017.9155,13.54,1.236908,556.731457,30.003315,21.642554,578.918131,123.030163,0.600072802,351.719659,383.196254,384.832255,332.391419,573.580701,0.03,0.20436,0
15,1017.90768,13.5436,1.236883,556.62675,30.000796,21.251584,578.054794,123.028679,0.600029659,342.885285,378.80674,385.2014,326.649763,568.126384,0.03,0.20343,0
15,1017.90132,13.56,1.236804,556.333989,29.993857,21.389009,578.220552,123.032035,0.599874512,341.955994,379.018334,386.492333,326.456178,568.174248,0.03,0.20319,0
15,1017.89018,13.5644,1.236772,556.520999,29.999293,21.483957,578.376003,123.029915,0.59999357,337.790314,376.953483,387.553921,323.91711,565.530825,0.03,0.2027,0
15,1017.86294,13.5748,1.236694,556.426782,29.997698,21.410313,578.282368,123.029717,0.599962636,328.913791,372.378685,389.209399,318.371007,560.08743,0.03,0.2015,0
15,1017.8856,13.58,1.236699,556.640325,30.003392,21.151573,577.910126,123.028543,0.600082243,320.1336,366.035252,387.439382,311.91586,551.348927,0.03,0.1996,0
15,1017.91762,13.58,1.236738,556.519243,29.999657,21.215748,578.111802,123.031699,0.59999215,318.694391,363.362442,382.193043,310.231779,546.295701,0.03,0.197,0
15,1017.91824,13.58,1.236738,556.459106,29.998027,21.193787,578.127444,123.03156,0.599960228,322.334631,365.332683,379.007554,313.479739,548.969434,0.03,0.19372,0
15,1017.92782,13.5808,1.236747,556.597702,30.001663,21.420307,578.396312,123.028351,0.600048599,326.759116,374.227999,385.920278,319.285704,562.040236,0.03,0.18978,0
15,1017.91094,13.5896,1.236688,556.476288,29.9991,21.362773,578.442744,123.033298,0.599973213,340.039337,394.875382,403.45607,334.533734,592.564512,0.03,0.1852,0
15,1017.9164,13.6,1.23665,556.475386,29.999539,21.403804,578.365215,123.032827,0.599984289,363.136229,425.752744,430.696218,358.87001,636.567771,0.03,0.18,0
15,1017.90434,13.62,1.236549,556.391469,29.998501,21.477842,578.34457,123.032403,0.599965597,391.27852,459.322244,465.165562,388.122347,683.724315,0.03,0.1742,0
15,1017.93616,13.62,1.236588,556.385536,29.997872,21.184318,577.770602,123.029352,0.599967896,419.978453,491.6072,500.627257,418.903964,729.574984,0.03,0.16783,0
15,1017.94884,13.62,1.236603,556.583937,30.003033,21.431486,578.349758,123.030727,0.600064411,449.227039,523.123724,543.531783,454.197858,777.447323,0.03,0.16093,0
15,1017.94428,13.6244,1.236579,556.329528,29.996473,21.749404,578.54597,123.033217,0.599921068,472.919064,548.067952,581.145383,484.898748,815.78061,0.03,0.15353,0
15,1017.93986,13.6392,1.236509,556.35345,29.997957,21.844089,578.581932,123.032173,0.599955839,491.457852,566.989431,614.539272,512.684728,847.732512,0.03,0.14567,0
15,1017.9097,13.64,1.236469,556.162976,29.993308,21.668922,578.13731,123.028293,0.599881778,502.573345,577.211865,639.231611,533.883794,869.178607,0.03,0.13739,0
15,1017.92782,13.64,1.236491,556.42251,30.000038,21.902741,578.696355,123.031649,0.600000014,507.373019,580.647625,656.195334,548.774048,881.960601,0.03,0.12872,0
15,1017.91156,13.6544,1.23641,556.325208,29.998407,21.807201,578.40684,123.032,0.599965683,502.61444,572.085056,658.450614,554.569028,880.434194,0.03,0.11971,0
15,1017.9208,13.66,1.236397,556.196058,29.995082,21.944889,578.426759,123.031597,0.599901148,492.11796,555.594233,651.932931,554.455284,870.450907,0.03,0.11042,0
15,1017.94226,13.66,1.236423,556.044933,29.99069,21.865591,578.225355,123.03102,0.599816121,474.254055,531.652942,637.658588,548.454565,852.874509,0.03,0.10087,0
15,1017.96392,13.66,1.236449,556.288756,29.996946,22.077317,578.79412,123.033923,0.599927086,451.170187,501.223113,613.523184,535.437396,826.480072,0.03,0.09113,0
15,1017.96878,13.66,1.236455,556.293455,29.997001,22.098028,578.582529,123.028901,0.599952675,421.501232,462.1173,578.114032,514.905048,789.4585,0.03,0.08124,0
15,1017.9656,13.6652,1.236429,556.41615,30.000628,22.034905,578.887024,123.031012,0.600014921,387.652474,413.728995,526.517939,486.257875,739.619092,0.03,0.07124,0
15,1017.97208,13.678,1.236381,556.31377,29.998441,22.135377,578.654658,123.02918,0.599980115,354.130371,360.906411,469.627133,454.480144,685.52123,0.03,0.0612,0
15,1018.02018,13.6808,1.236428,556.516348,30.00334,21.214696,578.080765,123.026268,0.6000923,369.373609,377.05369,376.269314,350.433508,577.544384,0.05222,0.25,0
15,1017.96994,13.6924,1.236317,556.152391,29.994874,21.151705,577.6723,123.030942,0.599900182,369.628203,377.988505,376.430941,349.908998,577.231118,0.05222,0.24279,0
15,1017.966,13.6988,1.236284,556.068,29.992991,21.172746,577.951484,123.034317,0.599846066,370.438683,379.255574,377.083208,350.330209,577.803777,0.05222,0.23609,0
15,1017.96304,13.6992,1.236279,555.960874,29.990166,20.961874,577.362941,123.030015,0.599810541,370.703275,379.857482,376.93704,349.774007,577.332178,0.05222,0.22993,0
15,1017.96186,13.7,1.236274,556.233745,29.997584,21.088516,577.817279,123.028689,0.599965369,370.906447,380.687227,377.421312,349.725288,577.491907,0.05222,0.22435,0
15,1017.95738,13.7,1.236269,556.223872,29.997384,21.257042,577.847861,123.027611,0.599966626,371.405126,381.875194,378.268477,350.146492,577.815103,0.05222,0.21938,0
15,1017.96358,13.7048,1.236255,556.41634,30.002734,20.946553,577.760538,123.030959,0.600057299,371.347456,382.092838,378.138615,349.590294,577.417395,0.05222,0.21504,0
15,1017.98006,13.7,1.236296,556.203415,29.996499,21.041304,577.543422,123.028638,0.599943917,370.666979,382.330605,378.393415,349.092664,577.358746,0.05222,0.21135,0
15,1018.01272,13.706,1.23631,556.300859,29.998958,21.173074,578.054856,123.032967,0.599971987,367.587224,382.356512,380.049097,347.418253,577.592048,0.05222,0.20833,0
15,1018.00984,13.7112,1.236284,556.163356,29.995565,21.189118,577.698278,123.028982,0.599923559,359.396435,380.137593,382.198104,342.716682,574.809567,0.05222,0.206,0
15,1017.95946,13.7184,1.236192,556.464611,30.004807,21.056757,577.946489,123.029404,0.600106344,350.72277,376.641551,383.635083,337.613166,570.360687,0.05222,0.20436,0
15,1017.9339,13.72,1.236154,556.195868,29.998021,21.314839,577.946888,123.030688,0.599964361,345.70025,374.829839,385.32107,334.804572,567.914463,0.05222,0.20343,0
15,1017.96638,13.72,1.236193,556.128184,29.995717,21.115146,577.651724,123.034398,0.59990019,343.03619,373.060552,384.82765,333.353853,566.166141,0.05222,0.20319,0
15,1017.95962,13.72,1.236185,556.456353,30.004665,21.030324,577.873965,123.031701,0.6000923,340.537036,371.898624,384.863159,331.531368,564.45036,0.05222,0.2027,0
15,1017.95748,13.72,1.236183,556.153388,29.996528,21.157162,577.82754,123.030735,0.599934271,334.045853,368.226285,385.868007,328.332986,560.187898,0.05222,0.2015,0
15,1017.96836,13.72,1.236196,556.270435,29.999524,21.114948,577.9511,123.032675,0.599984731,327.101953,364.434818,386.486812,324.172303,555.356997,0.05222,0.1996,0
15,1017.97704,13.72,1.236206,556.419852,30.003425,21.030521,577.780988,123.030071,0.600075451,323.025771,360.040307,383.281263,321.784663,549.970793,0.05222,0.197,0
15,1017.93968,13.72,1.236161,556.312393,30.001078,21.161962,577.941099,123.031023,0.600023867,324.686771,359.40165,378.201086,322.201801,547.901401,0.05222,0.19372,0
15,1017.94588,13.72,1.236168,556.069804,29.994445,20.951288,577.373,123.029085,0.599900656,326.85229,363.674113,382.630042,326.346898,556.183779,0.05222,0.18978,0
15,1017.98278,13.7208,1.23621,556.236783,29.998446,21.120537,577.811957,123.032572,0.599963673,334.191237,377.212222,397.828293,338.100334,579.507511,0.05222,0.1852,0
15,1017.99332,13.7352,1.236161,556.460482,30.005075,21.384472,578.267046,123.031327,0.600102325,358.041063,408.457349,426.156929,363.188894,626.496904,0.05222,0.18,0
15,1017.99052,13.7364,1.236152,556.143515,29.996632,20.982718,577.445327,123.030052,0.599939682,389.43946,445.902098,460.734899,393.670687,680.634553,0.05222,0.1742,0
15,1018.00992,13.74,1.23616,556.35644,30.002276,21.310039,578.184263,123.03184,0.600043843,418.523788,478.666328,498.878213,426.400917,730.60239,0.05222,0.16783,0
15,1017.98712,13.74,1.236132,556.266305,30.000182,21.241458,577.853524,123.028331,0.600019076,445.782936,509.293371,539.447704,458.89647,778.422769,0.05222,0.16093,0
15,1018.00278,13.74,1.236151,556.245089,29.999379,21.568384,578.256465,123.030976,0.599990116,466.715032,532.968329,575.072476,486.728728,816.268502,0.05222,0.15353,0
15,1018.03116,13.74,1.236186,556.12752,29.99579,21.526039,578.085627,123.031142,0.599917526,481.362532,550.689675,606.303467,509.382119,846.699315,0.05222,0.14567,0
15,1018.03224,13.74,1.236187,556.189034,29.997433,21.690291,578.354894,123.032252,0.599944974,493.526067,563.727933,630.552549,528.987599,870.016357,0.05222,0.13739,0
